id,job_title,skills
1,Facility Maintenance & Smart Warehouse Manager,"['electrical inspection', 'management system', 'corrective and preventive action', 'preventive action', 'warehouse operation', 'electrical', 'communication skill', 'english', 'negotiation', 'quick response', 'positive', 'englishable', 'operate', 'sewing', 'boiler', 'compressors', 'installation', 'leadership', 'communication', 'program execute', 'forecast', 'budget', 'planning', 'track', 'audit']"
2,Procurement Department Head,"['heavy equipment', 'contract management', 'production engineering', 'mechanical engineering', 'industrial engineering', 'operational', 'budget', 'plan', 'negotiation', 'english']"
3,SALES ADMIN,"['microsoft office', 'heat exchanger', 'carbon steel', 'api', 'com', 'internal sales', 'sales', 'resilient', 'english', 'systems knowledge', 'communication skill', 'petrochemical', 'fertilizer', 'power plant', 'valves', 'furnace', 'pipe', 'astm', 'stainless steel', 'flanges', 'gasket', 'gaskets']"
4,City Operation Lead Shopee Express (Cirebon),"['operation management', 'analytical skill', 'leadership style', 'management system', 'managing', 'operations', 'sorting', 'operation', 'accountable', 'supervise', 'learning development', 'logistics', 'problem solving', 'communication skills', 'operating']"
5,Japanese Interpreter,"['japanese', 'translator', 'english', 'non', 'translate']"
7,Admin Online Shop,"['e commerce', 'social medium', 'broadcast', 'marketplace']"
8,Accounting Staff,"['fix asset', 'analytical thinking', 'reconciliation', 'purchase', 'accounting', 'numbers', 'self motivated', 'english']"
9,MEP Design - Cikarang,"['design review', 'structural engineering', 'engineering support', 'electronic engineering', 'manage', 'coordinate', 'drawings', 'professional', 'electrical', 'plumbing', 'sourcing', 'procurement', 'drawing', 'local policies', 'design engineering', 'engineering electrical', 'mechatronic', 'mechanical', 'management project', 'communication', 'coordination']"
10,Tax Supervisor,"['income tax', 'tax compliance', 'digital electronic', 'general ledger', 'tax law', 'construction engineering', 'article', 'numbers', 'financial transaction', 'reconciliation', 'withholding tax', 'accounting', 'operate', 'operate system', 'professional', 'communication skills', 'english']"
11,Odoo Developer / IT Full Stack Developer,"['system development', 'learn agility', 'mobile app', 'it infrastructure', 'willingness to learn', 'web development', 'programming concept', 'maintain code', 'html', 'css', 'fix', 'digitization system', 'infrastructure', 'integration', 'data analysis', 'working environment', 'developers business', 'analysts analyst', 'innovative', 'resilient', 'develop custom', 'git', 'client server', 'server http', 'session', 'codedeploy']"
12,Identity and Access Management Staff - IT,"['computer science', 'information science', 'management information system', 'information system', 'password management', 'management system', 'it infrastructure', 'management process', 'operating system', 'access control', 'access control matrix', 'network appliance', 'incident report', 'change request', 'siem', 'communication skill', 'communicate', 'high level', 'server network', 'firewall', 'including server', 'managed', 'administration user', 'system network', 'system database', 'network application', 'operational', 'access management', 'infrastructure']"
16,Property Sales,"['mobile app', 'digital marketing', 'sales', 'keras', 'closing']"
18,Sales Recruiter & Trainer,"['business development', 'energetic', 'sales', 'massive']"
22,Sales Officer,"['write communication', 'effective sales', 'sales', 'positive', 'cooperation', 'economics', 'communication', 'marketing', 'marketing field', 'self motivate', 'english']"
25,Field Operation Lead (EXIM),"['certificate of origin', 'claim', 'exim', 'export import', 'operation']"
